"2025-11-09 16:49:09","FAMAS | Colony (Field-Tested)",2.11
"2025-11-09 16:49:10","Tec-9 | Groundwater (Minimal Wear)",3.46
"2025-11-09 16:49:12","XM1014 | Blue Steel (Field-Tested)",7.13
"2025-11-09 16:49:13","FAMAS | Cyanospatter (Field-Tested)",7.02
"2025-11-09 16:49:15","XM1014 | Blue Spruce (Field-Tested)",5.48
"2025-11-09 16:49:16","MP5-SD | Dirt Drop (Battle-Scarred)",1.68
"2025-11-09 16:49:17","UMP-45 | Carbon Fiber (Factory New)",20.64
"2025-11-09 16:49:19","Five-SeveN | Forest Night (Minimal Wear)",5.37
"2025-11-09 16:49:20","Sealed Graffiti | Eat It (Tracer Yellow)",2.02
"2025-11-09 16:49:22","Sealed Graffiti | 8-Ball (Monarch Blue)",2.36
"2025-11-09 16:50:26","Sealed Graffiti | Double (Tiger Orange)",2.07
"2025-11-09 16:50:28","XM1014 | CaliCamo (Field-Tested)",7.66
"2025-11-09 16:50:29","Souvenir UMP-45 | Scorched (Field-Tested)",2.15
"2025-11-09 16:50:31","Sawed-Off | Origami (Battle-Scarred)",38.31
"2025-11-09 16:50:32","Nova | Candy Apple (Minimal Wear)",15.0
"2025-11-09 16:50:34","Negev | Dazzle (Field-Tested)",33.66
"2025-11-09 16:50:35","MP7 | Armor Core (Minimal Wear)",42.48
"2025-11-09 16:50:36","Sealed Graffiti | Eat It (Frog Green)",2.77
"2025-11-09 16:50:38","PP-Bizon | Night Ops (Field-Tested)",7.1
"2025-11-09 16:50:39","Sealed Graffiti | Chess King (Dust Brown)",1.98
"2025-11-09 18:32:21","SSG 08 | Green Ceramic (Minimal Wear)",3.27
"2025-11-09 18:32:22","UMP-45 | Facility Dark (Well-Worn)",1.7
"2025-11-09 18:32:24","Recoil Case",41.32
"2025-11-09 18:32:25","Fracture Case",67.5
"2025-11-09 18:32:27","Sticker | Hydro Wave",30.94
"2025-11-09 18:32:28","Sticker | Bolt Charge",51.92
"2025-11-09 18:32:30","Sticker | Winding Scorch",30.77
"2025-11-09 18:32:31","Sticker | Bolt Strike",28.6
"2025-11-09 18:32:33","Sticker | Boom Blast (Glitter)",22.47
"2025-11-09 18:32:34","MAC-10 | Storm Camo (Field-Tested)",1.53
"2025-11-09 18:32:36","Sticker Capsule",62.56
"2025-11-09 18:32:37","Sticker | Eyes In The Sky (Foil)",212.2
"2025-11-09 18:32:39","Sticker | Boom Blast",5.49
"2025-11-09 18:32:40","Sticker | Boom Epicenter (Glitter)",18.45
"2025-11-09 18:32:41","Sticker | Hot Rod Heat",16.33
"2025-11-09 18:32:43","Sticker | Bolt Energy",11.77
"2025-11-09 18:32:44","Sticker | Scorch Loop",27.19
"2025-11-09 18:32:46","Sticker | Hydro Stream",16.94
"2025-11-09 18:32:47","Sticker | Boom Trail (Glitter)",40.8
"2025-11-09 18:32:48","Sticker | Winding Scorch (Foil)",540.69
"2025-11-09 18:33:21","Sticker | Hydro Geyser",12.55
"2025-11-09 18:33:22","Zeus x27 | Swamp DDPAT (Minimal Wear)",3.37
"2025-11-09 18:33:24","Winter Offensive Weapon Case",747.08
"2025-11-09 18:33:25","Sticker | Boom Detonation",5.54
"2025-11-09 18:33:27","Sticker | Scorch Loop (Reverse)",21.42
"2025-11-09 18:33:28","Sticker | Boom Detonation (Glitter)",22.93
"2025-11-09 18:33:30","Sticker | High Heat",106.17
"2025-11-09 18:33:31","Sticker | Boom Epicenter",4.69
"2025-11-09 18:33:32","Sticker | Bolt Energy (Foil)",200.61
"2025-11-09 18:33:34","Sticker | Bolt Charge (Foil)",487.43
"2025-11-09 18:33:35","Sticker | Rainbow Route (Holo)",213.44
"2025-11-09 18:33:37","Sticker | Boom Trail",12.97
"2025-11-09 18:33:38","Sticker | Bolt Strike (Foil)",302.99
"2025-11-09 18:33:39","Sticker | Ruby Wave (Lenticular)",1433.97
"2025-11-09 18:33:41","Sticker | Lock In",3.8
"2025-11-09 18:33:42","Sticker | Candy Apples",2.25
"2025-11-09 18:33:44","Sticker | Sent With Love",4.95
"2025-11-09 18:33:45","Sticker | Gloves On",2.41
"2025-11-09 18:33:46","Sticker | Skelly Stabby",4.15
"2025-11-09 18:33:48","Sticker | Pop Pup",5.25
"2025-11-09 18:34:20","Sticker | POTS",2.68
"2025-11-09 18:34:21","Sticker | Cutie (Holo)",93.86
"2025-11-09 18:34:23","Sticker | Chrome Dome (Holo)",507.53
"2025-11-09 18:34:24","Sticker | Bomb Planted (Holo)",34.66
"2025-11-09 18:34:26","Sticker | Vice Cursor",13.26
"2025-11-09 18:34:27","Sticker | Cubix Connexion",4.75
"2025-11-09 18:34:28","Sticker | Eyes of Farlow",23.85
"2025-11-09 18:34:30","Sticker | Fade Mangos",1.57
"2025-11-09 18:34:31","Sticker | Good As New (Foil)",336.28
"2025-11-09 18:34:33","Sticker | CT Tracks (Glitter)",34.82
"2025-11-09 18:34:34","Sticker | Overloaded (Glitter)",27.84
"2025-11-09 18:34:35","Sticker | Mimicapsule",2.3
"2025-11-09 18:34:37","Sticker | Evidence (Holo)",104.05
"2025-11-09 18:34:38","M249 | Sage Camo (Factory New)",9.34
"2025-11-09 18:34:40","Sticker | Digi-Strike (Lenticular)",558.16
"2025-11-09 18:34:41","Sticker | T Tracks (Glitter)",28.58
"2025-11-09 18:34:43","P90 | Blue Tac (Minimal Wear)",3.19
"2025-11-09 18:34:44","Sticker | Lorena",8.18
"2025-11-09 18:34:45","Sticker | Clavis",4.31
"2025-11-09 18:34:47","Sticker | BullHit (Lenticular)",867.46
"2025-11-09 18:35:51","Sticker | Lucas",3.84
"2025-11-09 18:35:53","Sticker | Lucas (Holo)",82.07
"2025-11-09 18:35:54","Sticker | Ribbon Tie",62.4
"2025-11-09 18:35:56","Sticker | XD",10.37
"2025-11-09 18:35:57","Sticker | Quick Peek",30.55
"2025-11-09 18:35:58","Sticker | Lefty (T)",4.99
"2025-11-09 18:36:00","Sticker | Strike A Pose",7.43
"2025-11-09 18:36:01","Sticker | Lefty (CT)",4.62
"2025-11-09 18:36:02","Sticker | Glare",13.75
"2025-11-09 18:36:04","Sticker | From The Deep (Glitter)",63.88
"2025-11-09 18:36:05","P90 | Desert Halftone (Field-Tested)",1.73
"2025-11-09 18:36:07","Sticker | Taste Bud",24.99
"2025-11-09 18:36:08","AUG | Sweeper (Minimal Wear)",2.22
"2025-11-09 18:36:09","AK-47 | Safety Net (Field-Tested)",328.33
"2025-11-09 18:36:11","MP7 | Army Recon (Field-Tested)",1.73
"2025-11-09 18:36:12","SG 553 | Damascus Steel (Minimal Wear)",69.46
"2025-11-09 18:36:14","Tec-9 | Blue Blast (Field-Tested)",2.36
"2025-11-09 18:36:15","P90 | Sand Spray (Field-Tested)",1.65
"2025-11-09 18:36:17","FAMAS | Teardown (Field-Tested)",18.34
"2025-11-09 18:36:18","SSG 08 | Blue Spruce (Field-Tested)",1.61
"2025-11-09 18:37:23","MAG-7 | Copper Oxide (Minimal Wear)",3.37
"2025-11-09 18:37:24","Nova | Mandrel (Minimal Wear)",1.93
"2025-11-09 18:37:26","UMP-45 | Facility Dark (Factory New)",5.01
"2025-11-09 18:37:27","Nova | Predator (Field-Tested)",1.68
"2025-11-09 18:37:29","MP9 | Sand Dashed (Minimal Wear)",2.03
"2025-11-09 18:37:30","P90 | Sand Spray (Battle-Scarred)",1.43
"2025-11-09 18:37:32","MAC-10 | Palm (Minimal Wear)",18.87
"2025-11-09 18:37:33","Zeus x27 | Electric Blue (Field-Tested)",13.87
"2025-11-09 18:37:35","SSG 08 | Acid Fade (Factory New)",121.56
"2025-11-09 18:37:36","FAMAS | Palm (Battle-Scarred)",2.09
"2025-11-09 18:37:38","G3SG1 | Green Cell (Minimal Wear)",3.53
"2025-11-09 18:37:40","Five-SeveN | Autumn Thicket (Factory New)",6.78
"2025-11-09 18:37:41","G3SG1 | Jungle Dashed (Minimal Wear)",2.36
"2025-11-09 18:37:43","MP9 | Slide (Field-Tested)",1.7
"2025-11-09 18:37:44","Negev | Bulkhead (Field-Tested)",6.84
"2025-11-09 18:37:46","Tec-9 | Army Mesh (Field-Tested)",2.01
"2025-11-09 18:37:47","SCAR-20 | Contractor (Field-Tested)",1.66
"2025-11-09 18:37:49","MP9 | Slide (Battle-Scarred)",1.7
"2025-11-09 18:37:51","AUG | Contractor (Field-Tested)",2.01
"2025-11-09 18:37:52","SG 553 | Army Sheen (Minimal Wear)",2.85
"2025-11-09 18:38:24","Desert Eagle | Mudder (Field-Tested)",9.9
"2025-11-09 18:38:26","AK-47 | Safari Mesh (Field-Tested)",10.62
"2025-11-09 18:38:27","AUG | Storm (Field-Tested)",2.47
"2025-11-09 18:38:29","SCAR-20 | Sand Mesh (Field-Tested)",1.68
"2025-11-09 18:38:31","Five-SeveN | Orange Peel (Battle-Scarred)",6.3
"2025-11-09 18:38:32","UMP-45 | Mudder (Minimal Wear)",2.45
